home,away,home_win,draw,away_win,score
Mexico,South Africa,0.8587289840270034,0.09270944094458236,0.04856157502841431,3-0
South Korea,Czech Republic,0.6452897978297846,0.18511165112435246,0.1695985510458629,2-1
Canada,Bosnia and Herzegovina,0.8054026333159587,0.11912552565359215,0.07547184103044921,3-0
United States,Paraguay,0.5436300234731618,0.21451384368191068,0.2418561328449275,2-1
Qatar,Switzerland,0.23984951045215078,0.21220503725509127,0.5479454522927579,1-2
Brazil,Morocco,0.5615926880799229,0.21141230712503795,0.22699500479503923,2-1
Haiti,Scotland,0.45085559471702014,0.2253372036429901,0.3238072016399898,1-1
Australia,Turkey,0.48941351011058737,0.22066862733759868,0.2899178625518139,1-1
Germany,Curaçao,0.859614659622926,0.08927037628885881,0.05111496408821511,3-0
Ivory Coast,Ecuador,0.321244341812523,0.23012611461983742,0.4486295435676396,1-1
Netherlands,Japan,0.5164072487995283,0.21597134233435217,0.2676214088661196,2-1
Sweden,Tunisia,0.47581385236954454,0.22679085674653152,0.2973952908839239,1-1
Belgium,Egypt,0.6550356893871054,0.18092344930968732,0.1640408613032072,2-1
Iran,New Zealand,0.6911165683663035,0.16824659058970529,0.1406368410439912,2-1
Spain,Cape Verde,0.8889043793205906,0.07495585490328151,0.036139765776127986,3-0
Saudi Arabia,Uruguay,0.29778054672684,0.22667674901057194,0.475542704262588,1-1
France,Senegal,0.7155875068158893,0.1610873173060648,0.12332517587804588,2-0
Iraq,Norway,0.40828092963617996,0.2332630866383116,0.3584559837255084,1-1
Argentina,Algeria,0.7489354415213448,0.14529385343227583,0.10577070504637935,2-0
Austria,Jordan,0.6037003825886474,0.1984806938943665,0.197818923516986,2-1
Portugal,DR Congo,0.739449810622051,0.14972586499288992,0.11082432438505918,2-0
Uzbekistan,Colombia,0.36795699779843183,0.23420178767389888,0.39784121452766935,1-1
England,Croatia,0.5958583617752938,0.20005618333797184,0.20408545488673432,2-1
Ghana,Panama,0.36933467050269314,0.23310219382298028,0.3975631356743266,1-1
Czech Republic,South Africa,0.6412117743424954,0.18854704754487286,0.17024117811263167,2-1
Mexico,South Korea,0.656867759116621,0.1822486836851042,0.1608835571982748,2-1
Switzerland,Bosnia and Herzegovina,0.7628093646080807,0.1386330665706564,0.09855756882126293,2-0
Canada,Qatar,0.8289732428732234,0.10763638238240587,0.06339037474437083,3-0
Scotland,Morocco,0.3204976227327115,0.2316598187862811,0.44784255848100735,1-1
Brazil,Haiti,0.8094611984083399,0.11616654950759923,0.07437225208406087,3-0
United States,Australia,0.5367631290740451,0.21178219959789202,0.2514546713280629,2-1
Turkey,Paraguay,0.5494151278886165,0.21303710544084234,0.2375477666705412,2-1
Germany,Ivory Coast,0.7170397229480786,0.15663546112931154,0.12632481592260972,2-1
Ecuador,Curaçao,0.8514511614543742,0.0949353819647259,0.053613456580900075,3-0
Netherlands,Sweden,0.7520597756743846,0.14350315188841298,0.1044370724372024,2-0
Tunisia,Japan,0.31003149638912353,0.22743648050841964,0.46253202310245684,1-1
Belgium,Iran,0.5826476118078052,0.20177688061081994,0.2155755075813748,2-1
New Zealand,Egypt,0.4097802824343686,0.22979714639612817,0.3604225711695033,1-1
Spain,Saudi Arabia,0.8770018289093414,0.08140786349204267,0.04159030759861595,3-0
Uruguay,Cape Verde,0.7503867078872841,0.1464527450398916,0.10316054707282421,2-0
France,Iraq,0.8144274283288948,0.11581656029881918,0.069756011372286,3-0
Norway,Senegal,0.4957242600016368,0.22465564201812166,0.27962009798024157,1-1
Argentina,Austria,0.7925923189931605,0.12506867433148053,0.08233900667535894,3-0
Jordan,Algeria,0.3755210258956206,0.2327700816961657,0.3917088924082137,1-1
Portugal,Uzbekistan,0.6874174859534983,0.16952751401517757,0.1430550000313241,2-1
Colombia,DR Congo,0.7119724066362819,0.16313785438665718,0.12488973897706089,2-0
England,Ghana,0.8555717096374572,0.09372342146602226,0.050704868896520545,3-0
Panama,Croatia,0.3511400409458889,0.2305037780222924,0.4183561810318186,1-1
Mexico,Czech Republic,0.7751949892488311,0.1333807702164841,0.09142424053468483,2-0
South Africa,South Korea,0.26704948787332444,0.22494138004525618,0.5080091320814194,1-1
Canada,Switzerland,0.5729599315234437,0.20581887062556511,0.22122119785099117,2-1
Bosnia and Herzegovina,Qatar,0.5552544398041351,0.20939154416165048,0.23535401603421433,2-1
Scotland,Brazil,0.2738647603089262,0.21992805942321156,0.5062071802678622,1-1
Morocco,Haiti,0.765623274041126,0.1381304167321949,0.09624630922667915,2-0
United States,Turkey,0.5107657561584115,0.21847719343786115,0.27075705040372733,1-1
Paraguay,Australia,0.5085154951353014,0.21869919902994991,0.27278530583474875,1-1
Curaçao,Ivory Coast,0.33843222934720923,0.22657386611048896,0.4349939045423017,1-1
Ecuador,Germany,0.512064148814151,0.2148996043674617,0.27303624681838734,2-1
Japan,Sweden,0.7496056468398579,0.144857133136512,0.10553722002363014,2-0
Tunisia,Netherlands,0.30748064370407724,0.22615914399114537,0.46636021230477737,1-1
Egypt,Iran,0.4374775494739681,0.2299663871077685,0.3325560634182634,1-1
New Zealand,Belgium,0.27874252899872404,0.21703076285793338,0.5042267081433425,1-1
Cape Verde,Saudi Arabia,0.4870177335791564,0.22640081006914128,0.2865814563517023,1-1
Uruguay,Spain,0.3108859445312524,0.22534564237535715,0.4637684130933904,1-1
Norway,France,0.29208316878560187,0.2251309741616447,0.48278585705275345,1-1
Senegal,Iraq,0.6327313667094877,0.1922788359333883,0.17498979735712397,2-1
Algeria,Austria,0.5693425224989007,0.2060007510117806,0.22465672648931867,2-1
Jordan,Argentina,0.17384894792355166,0.18977462510985113,0.6363764269665972,1-2
Colombia,Portugal,0.4846740730384477,0.22424175266095256,0.29108417430059974,1-1
DR Congo,Uzbekistan,0.4545483497771917,0.22818959668523656,0.3172620535375717,1-1
Panama,England,0.2763972285692147,0.22068041270613925,0.5029223587246461,1-1
Croatia,Ghana,0.8008923970101877,0.1222187916065845,0.0768888113832278,3-0
